breakpoints,primitives,points,q_bp
16833,movel_fit,"[array([1079.26547676, -267.29488505,  962.087726  ])]","[array([-0.63249029, -0.324478  ,  0.74759229,  0.75945925,  1.40469607,
       -2.2247136 ])]"
17000,movel_fit,"[array([1080.59726924, -261.74196743,  963.42623167])]","[array([-0.62796669, -0.3247384 ,  0.7470357 ,  0.76074413,  1.40548794,
       -2.21896749])]"
17166,movel_fit,"[array([1081.92241173, -256.2252467 ,  964.76747145])]","[array([-0.62343273, -0.3249691 ,  0.74643328,  0.76196675,  1.40626092,
       -2.21327043])]"
17333,movel_fit,"[array([1083.25653412, -250.67809665,  966.12716699])]","[array([-0.61883425, -0.32517295,  0.74577823,  0.76314207,  1.40702438,
       -2.20755423])]"
17500,movel_fit,"[array([1084.59132139, -245.13359683,  967.49683334])]","[array([-0.6141989 , -0.32534857,  0.7450745 ,  0.76426276,  1.40777365,
       -2.20185371])]"
17666,movel_fit,"[array([1085.91844393, -239.62476154,  968.86774977])]","[array([-0.60955521, -0.32549532,  0.74432721,  0.7653228 ,  1.40850437,
       -2.19620333])]"
17833,movel_fit,"[array([1087.25355938, -234.08505389,  970.25600348])]","[array([-0.60484764, -0.32561512,  0.74352787,  0.7663351 ,  1.40922535,
       -2.19053547])]"
18000,movel_fit,"[array([1088.58834132, -228.54749894,  971.65293443])]","[array([-0.60010446, -0.32570719,  0.74268132,  0.76729327,  1.40993211,
       -2.18488466])]"
18166,movel_fit,"[array([1089.91447213, -223.04506848,  973.04967722])]","[array([-0.59535477, -0.32577143,  0.74179354,  0.76819214,  1.41062053,
       -2.17928498])]"
18333,movel_fit,"[array([1091.24760021, -217.51129759,  974.46263681])]","[array([-0.59054169, -0.32580881,  0.7408543 ,  0.7690426 ,  1.41129889,
       -2.17366937])]"
18500,movel_fit,"[array([1092.57940436, -211.97916609,  975.88299983])]","[array([-0.58569404, -0.32581905,  0.73986926,  0.76983907,  1.41196299,
       -2.16807195])]"
18666,movel_fit,"[array([1093.90159548, -206.481613  ,  977.30177751])]","[array([-0.58084146, -0.32580249,  0.73884515,  0.77057724,  1.412609  ,
       -2.16252638])]"
18833,movel_fit,"[array([1095.22977587, -200.95222737,  978.73564533])]","[array([-0.57592573, -0.32575907,  0.73777001,  0.77126587,  1.41324474,
       -2.15696607])]"
19000,movel_fit,"[array([1096.55564603, -195.42395343,  980.1756579 ])]","[array([-0.57097621, -0.32568892,  0.7366502 ,  0.77190018,  1.41386637,
       -2.15142466])]"
19166,movel_fit,"[array([1097.87096171, -189.92970745,  981.61272403])]","[array([-0.566023  , -0.32559272,  0.73549313,  0.77247662,  1.41447042,
       -2.14593528])]"
19333,movel_fit,"[array([1099.19124238, -184.40311405,  983.06374293])]","[array([-0.56100659, -0.32546931,  0.73428506,  0.77300181,  1.41506435,
       -2.14043182])]"
19500,movel_fit,"[array([1100.50822656, -178.87709194,  984.51965818])]","[array([-0.55595681, -0.32531909,  0.73303301,  0.77347172,  1.41564473,
       -2.13494734])]"
19666,movel_fit,"[array([1101.81373113, -173.38454496,  985.9712968 ])]","[array([-0.55090426, -0.32514305,  0.73174494,  0.77388354,  1.41620852,
       -2.12951437])]"
19833,movel_fit,"[array([1103.12315593, -167.85911473,  987.4357353 ])]","[array([-0.54578809, -0.32493882,  0.73040536,  0.77424169,  1.41676291,
       -2.12406724])]"
20000,movel_fit,"[array([1104.42829372, -162.33370482,  988.90382686])]","[array([-0.54063861, -0.32470703,  0.72902183,  0.77454287,  1.41730494,
       -2.11863841])]"
20166,movel_fit,"[array([1105.72103881, -156.84121748,  990.36633729])]","[array([-0.53548691, -0.32444891,  0.72760291,  0.77478509,  1.41783204,
       -2.11325981])]"
20333,movel_fit,"[array([1107.01663442, -151.31529246,  991.84047401])]","[array([-0.53027081, -0.32416081,  0.7261313 ,  0.77497047,  1.41835121,
       -2.10786617])]"
20500,movel_fit,"[array([1108.30694377, -145.78882911,  993.31702033])]","[array([-0.52502113, -0.3238436 ,  0.72461511,  0.77509651,  1.41885997,
       -2.10248935])]"
20666,movel_fit,"[array([1109.58395503, -140.29473923,  994.78670131])]","[array([-0.51976944, -0.32349874,  0.72306348,  0.77516205,  1.4193562 ,
       -2.09716077])]"
20833,movel_fit,"[array([1110.86271742, -134.76664186,  996.2668089 ])]","[array([-0.51445227, -0.32312128,  0.72145728,  0.7751669 ,  1.41984678,
       -2.09181548])]"
21000,movel_fit,"[array([1112.13518093, -129.2374434 ,  997.74807699])]","[array([-0.50910092, -0.32271235,  0.71980526,  0.77510942,  1.42032969,
       -2.08648485])]"
21166,movel_fit,"[array([1113.39344424, -123.7400766 ,  999.22121048])]","[array([-0.50374751, -0.32227373,  0.71811718,  0.77498943,  1.42080318,
       -2.08119984])]"
21333,movel_fit,"[array([1114.65232467, -118.20812107, 1000.7035392 ])]","[array([-0.49832726, -0.32179915,  0.71637212,  0.77480433,  1.42127408,
       -2.07589588])]"
21500,movel_fit,"[array([1115.90387553, -112.67450182, 1002.18576814])]","[array([-0.49287203, -0.32129009,  0.71457948,  0.77455347,  1.42174073,
       -2.07060392])]"
21666,movel_fit,"[array([1117.14032294, -107.17218415, 1003.65860282])]","[array([-0.48741449, -0.32074883,  0.71274979,  0.77423777,  1.42220162,
       -2.0653546 ])]"
21833,movel_fit,"[array([1118.37621378, -101.63468967, 1005.1393639 ])]","[array([-0.48188858, -0.32016773,  0.71086034,  0.7738522 ,  1.42266359,
       -2.06008372])]"
22000,movel_fit,"[array([1119.60372154,  -96.09497372, 1006.61874817])]","[array([-0.47632674, -0.31954881,  0.70892135,  0.77339723,  1.42312518,
       -2.05482197])]"
22166,movel_fit,"[array([1120.81521714,  -90.58604584, 1008.08748288])]","[array([-0.47076227, -0.31889502,  0.7069442 ,  0.77287501,  1.42358496,
       -2.04959984])]"
22333,movel_fit,"[array([1122.0249377 ,  -85.04135133, 1009.5628319 ])]","[array([-0.4651278 , -0.31819738,  0.70490445,  0.77227802,  1.42404979,
       -2.04435348])]"
22500,movel_fit,"[array([1123.22519411,  -79.49388761, 1011.03550481])]","[array([-0.4594564 , -0.31745864,  0.70281324,  0.77160802,  1.42451823,
       -2.0391135 ])]"
22666,movel_fit,"[array([1124.40852006,  -73.97672   , 1012.49627212])]","[array([-0.45378204, -0.31668261,  0.70068299,  0.7708685 ,  1.42498873,
       -2.03391036])]"
22833,movel_fit,"[array([1125.58880261,  -68.42319959, 1013.96229251])]","[array([-0.44803602, -0.31585901,  0.69848753,  0.77004942,  1.4254682 ,
       -2.02868062])]"
23000,movel_fit,"[array([1126.75850785,  -62.8663775 , 1015.42430974])]","[array([-0.44225211, -0.31499152,  0.69623908,  0.7691539 ,  1.42595504,
       -2.0234549 ])]"
23166,movel_fit,"[array([1127.91035082,  -57.33938605, 1016.87315972])]","[array([-0.43646496, -0.314085  ,  0.69395121,  0.76818695,  1.42644737,
       -2.01826382])]"
23333,movel_fit,"[array([1129.05782714,  -51.77546477, 1018.32584651])]","[array([-0.43060454, -0.31312786,  0.69159605,  0.7671359 ,  1.42695217,
       -2.01304429])]"
23500,movel_fit,"[array([1130.19357655,  -46.20772975, 1019.77317006])]","[array([-0.4247053 , -0.3121249 ,  0.68918703,  0.76600537,  1.42746747,
       -2.0078271 ])]"
23666,movel_fit,"[array([1131.31051478,  -40.66939111, 1021.20605433])]","[array([-0.41880262, -0.31108215,  0.68673893,  0.76480192,  1.42799094,
       -2.00264308])]"
23833,movel_fit,"[array([1132.42170344,  -35.09356008, 1022.64129833])]","[array([-0.41282511, -0.30998677,  0.68422223,  0.76351016,  1.42852963,
       -1.9974295 ])]"
24000,movel_fit,"[array([1133.51997507,  -29.51342863, 1024.06978068])]","[array([-0.40680792, -0.30884475,  0.68165161,  0.76213627,  1.42908108,
       -1.99221735])]"
24166,movel_fit,"[array([1134.59846627,  -23.96229486, 1025.48253694])]","[array([-0.40078715, -0.30766334,  0.67904309,  0.76068841,  1.42964241,
       -1.98703773])]"
24333,movel_fit,"[array([1135.66976074,  -18.37312583, 1026.89610916])]","[array([-0.39469   , -0.30642844,  0.67636552,  0.75914837,  1.43022079,
       -1.98182819])]"
24500,movel_fit,"[array([1136.72690384,  -12.77919968, 1028.30147794])]","[array([-0.38855232, -0.30514725,  0.67363481,  0.75752389,  1.43081319,
       -1.97661996])]"
24666,movel_fit,"[array([1137.76327413,   -7.21391212, 1029.68981473])]","[array([-0.38241095, -0.30382822,  0.67086822,  0.75582472,  1.43141617,
       -1.97144433])]"
24833,movel_fit,"[array([1138.79093201,   -1.61007114, 1031.0773513 ])]","[array([-0.3761916 , -0.30245593,  0.66803293,  0.75402969,  1.43203709,
       -1.96623908])]"
25000,movel_fit,"[array([1139.80315657,    3.99894916, 1032.45519427])]","[array([-0.36993082, -0.30103873,  0.66514602,  0.75214808,  1.43267241,
       -1.96103562])]"
25166,movel_fit,"[array([1140.79359045,    9.57964652, 1033.81467623])]","[array([-0.36366616, -0.29958614,  0.66222589,  0.75019123,  1.43331814,
       -1.95586531])]"
25333,movel_fit,"[array([1141.77372379,   15.19938565, 1035.17166365])]","[array([-0.3573218 , -0.29808135,  0.65923803,  0.74813484,  1.43398199,
       -1.95066613])]"
25500,movel_fit,"[array([1142.73709133,   20.82468726, 1036.51741415])]","[array([-0.35093496, -0.29653369,  0.65620059,  0.7459897 ,  1.43465995,
       -1.94546948])]"
